category,technique_name,description
collaborative,Construção Sim E,"Crie impulso por meio de adições positivas, em que cada ideia vira um trampolim - use provocações como 'Sim, e poderíamos também...' ou 'Aproveitando essa ideia...' para gerar um fluxo colaborativo e energético que se apoia nas contribuições anteriores"
collaborative,Brain Writing Rodízio,"Geração silenciosa de ideias seguida da construção sobre os conceitos escritos por outras pessoas - dá às vozes mais discretas uma contribuição equânime, mantendo a documentação por meio da sequência de escrever em silêncio, passar as ideias adiante e construir sobre os conceitos recebidos"
collaborative,Estímulo Aleatório,"Use palavras/imagens aleatórias como catalisadores criativos para forçar conexões inesperadas - rompe bloqueios mentais com inspiração fortuita, perguntando como elementos aleatórios se relacionam, que conexões existem e forçando relações entre eles"
collaborative,Encenação de Papéis,"Gere soluções a partir das perspectivas de múltiplos stakeholders para construir empatia e garantir uma análise abrangente - incorpore diferentes papéis perguntando o que cada um quer, como abordaria os problemas e o que mais importa para ele (por exemplo: o cliente, o usuário final, o operador, o time de produto)"
collaborative,Corrida de Revezamento de Ideacao,"A construção acelerada de ideias sob pressão de tempo gera urgência e descobertas - estruture com adições de 30 segundos, construção rápida sobre as ideias e passagem ágil para manter o impulso criativo e evitar o excesso de análise"
creative,Cenarios E Se,"Explore possibilidades radicais questionando todas as restrições e suposições - ideal para romper o pensamento travado usando provocações como 'E se tivéssemos recursos ilimitados?' 'E se o oposto fosse verdade?' ou 'E se esse problema não existisse?'"
creative,Pensamento Analogico,"Encontre soluções criativas traçando paralelos com outros domínios - transfira padrões bem-sucedidos perguntando 'Isso se parece com o quê?' 'Como isso é semelhante a...' e 'Que outros exemplos vêm à mente?' para conectar com soluções existentes"
creative,Reversao Inversao,"Vire o problema de cabeça para baixo de forma deliberada para revelar suposições ocultas e ângulos novos - ótimo quando as abordagens convencionais falham, perguntando 'E se fizéssemos o oposto?' 'Como poderíamos piorar isso?' e 'Qual é a abordagem inversa?'"
creative,Pensamento de Primeiros Principios,"Descarte as suposições para reconstruir a partir de verdades fundamentais - essencial para inovação disruptiva, perguntando 'O que sabemos com certeza?' 'Quais são as verdades fundamentais?' e 'E se começássemos do zero?'"
creative,Relacoes Forcadas,"Conecte conceitos não relacionados para gerar pontes inovadoras por meio da colisão criativa - pegue duas coisas sem relação, encontre conexões entre elas, identifique pontes e explore como poderiam funcionar juntas para gerar soluções inesperadas"
